title,department,subtier,office,type_name,solicitation_number,publish_date,response_date,is_active,set_aside,description,sam_url,awardee_name,award_amount
Envelopes,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,0695S_2025,2025-08-28,2025-09-08,Inactive,,"These specifications cover the production of envelopes requiring such operations as composition, electronic prepress, printing, construction, packing, and distribution.",https://sam.gov/opp/51d246b96c624d04a4691eb2c28f576a/view,,
Telecommunications Backup Power,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Combined Synopsis/Solicitation,030ADV25Q0181,2025-08-27,2025-09-08,Inactive,,"This is a combined synopsis/solicitation for commercial items prepared in accordance with the format in FAR 12.6, as supplemented with the additional information attached to this notice. This announcement constitutes the only solicitation; qu",https://sam.gov/opp/36fb07c1aad84388b57744d91486cffd/view,,
"Representative Payee, Beneficiary Recontact, and Disability Update Reports",UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,RepresentativePayeeBeneficiaryRecontactandDisabilityUpdateReports490S(2025),2025-08-27,2025-09-11,Inactive,,The specifications cover the production of mailing packages from six (6) identified workloads (total of 36 mailers) consisting of English or Spanish personalized scannable forms; English or Spanish personalized notices with micro-perforated paymen,https://sam.gov/opp/14f0b4d2eea447129db3afe8bce1e19f/view,,
RFQ 05GA0 05GA0A25Q0053 OIG Hotline Web Based Reporting Services,GOVERNMENT ACCOUNTABILITY OFFICE,"GAO, EXCEPT COMPTROLLER GENERAL",US GAO ACQUISITION MANAGEMENT,Solicitation,05GA0A25Q0053,2025-08-27,2025-09-02,Inactive,,The U.S. Government Accountability Office (GAO) intends to procure contractor support for OIG fraud hotline telephone and web based reporting services.,https://sam.gov/opp/8b2ecff3428a4af7b2d36ef95b874a76/view,,
"Digitization of Microfiche for the Naval Surface Warfare Center, Dahlgren Division",LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS FEDLINK,Combined Synopsis/Solicitation,LCFDL25R0023,2025-08-26,2025-08-15,Inactive,,COMBINED SYNOPSIS/SOLICITATION FOR COMMERCIAL ITEMS This is a combined synopsis/solicitation for commercial products or commercial services prepared in accordance with the format in Federal Acquisition Regulation (FAR) sub,https://sam.gov/opp/e9dd088c2c304a18a503d7e176931960/view,,
NCA Customer Satisfaction Surveys 2026,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Customer Services,Combined Synopsis/Solicitation,432-923,2025-08-26,2025-08-29,Inactive,,"Approx. 279,462 total pieces consisting of two (2) independent Cohorts, each with four (4) waves of mailings. -FIRST MAILING (COHORT 1) includes mailings for 3 recipient types in 2 versions (English and Spanish). -SECOND MAILING (C",https://sam.gov/opp/fc8959c132d24eb484025613197614f2/view,,
Installation and Integration of Alertus Beacons,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV25Q0209,2025-08-25,2025-09-03,Inactive,,The Library of Congress (Library) requires installation of emergency alert beacons to be installed in identified locations throughout the Library’s campus buildings. Maps and floor plans for each building are available to the public: h,https://sam.gov/opp/1e2a9ba51559448491ad4b344ec19683/view,,
Braille Transcription and Production IDIQ,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Award Notice,030ADV25R0018,2025-08-25,,Inactive,,"This is a multiple award contract. The name and address of each offeror receiving an award and their total evaluated price (TEP) are as follows: 1. T-Base Communications DBA Allyant 806 COMMERCE PARK DR, OGDENSBURG, N",https://sam.gov/opp/a584210a48074706b13f0b66951112ab/view,"T-Base Communications USA, Inc.",
Library of Congress - Pickford Theater Audio and Visual Upgrades,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,CONTRACTS SERVICES,Solicitation,030ADV25R0046,2025-08-22,2025-09-02,Inactive,,"The James Madison Memorial Building, part of the Library of Congress complex is the national monument to the fourth U.S. president, James Madison. The building opened in 1980, and on the third floor, houses the Mary Pickford Theater. The Mov",https://sam.gov/opp/2c8b4b3db15942108bdf1c7249985dc2/view,,
Hazardous and Non hazardous Material Waste Removal,UNITED STATES GOVERNMENT PUBLISHING OFFICE,UNITED STATES GOVERNMENT PUBLISHING OFFICE,Acquisition Services,Solicitation,040ADV-25-Q-0041,2025-08-21,2025-08-21,Inactive,,"2.1. The Vendor will be contracted to safely remove, ship, and dispose of hazardous and non-hazardous materials (waste) from the GPO Central Complex, located at 732 North Capitol Street, NW, Washington, DC 20401. The vendor shall properly ship the",https://sam.gov/opp/6bc4cb0083264c4cbf76c62cb4601621/view,,
